left,bottom,right,top,area,cctv_area,cctv_weakS,crimeS,xcoord,ycoord,x,y
939600,1951100,939700,1951200,100,19.5946,28.7047,9.44056836,939650,1951150,126.8167089,37.5577261
965800,1948300,965900,1948400,100,49.7608,17.9354,13.10915194,965850,1948350,127.1134707,37.5338327
965800,1948400,965900,1948500,100,20.0397,28.5458,13.10915194,965850,1948450,127.113466,37.53473404
965800,1948500,965900,1948600,100,100,0,13.10915194,965850,1948550,127.1134614,37.53563538
939600,1950700,939700,1950800,100,26.7083,26.1651,9.44056836,939650,1950750,126.8167418,37.55412092
965800,1948600,965900,1948700,100,48.9179,18.2363,13.10915194,965850,1948650,127.1134567,37.53653672
939600,1950800,939700,1950900,100,59.4481,14.477,9.44056836,939650,1950850,126.8167336,37.55502222
965800,1947900,965900,1948000,100,68.6226,11.2017,13.10915194,965850,1947950,127.1134893,37.53022733
939600,1950900,939700,1951000,100,59.3841,14.4999,9.44056836,939650,1950950,126.8167253,37.55592351
965800,1948000,965900,1948100,100,86.8319,4.701,13.10915194,965850,1948050,127.1134847,37.53112867
939600,1951000,939700,1951100,100,57.9929,14.9965,9.44056836,939650,1951050,126.8167171,37.55682481
965800,1948100,965900,1948200,100,24.2603,27.0391,13.10915194,965850,1948150,127.11348,37.53203001
965800,1948200,965900,1948300,100,86.3967,4.8564,13.10915194,965850,1948250,127.1134754,37.53293136
965800,1947400,965900,1947500,100,1.5499,35.1467,13.10915194,965850,1947450,127.1135126,37.52572062
965800,1947500,965900,1947600,100,40.28,21.32,13.10915194,965850,1947550,127.1135079,37.52662196
965800,1947700,965900,1947800,100,0.0184,35.6934,13.10915194,965850,1947750,127.1134986,37.52842465
965800,1947800,965900,1947900,100,7.4736,33.0319,13.10915194,965850,1947850,127.113494,37.52932599
939700,1943700,939800,1943800,100,7.7884,32.9195,7.48708883,939750,1943750,126.818448,37.49103652
939700,1943800,939800,1943900,100,31.9878,24.2804,7.48708883,939750,1943850,126.8184399,37.49193783
939700,1943900,939800,1944000,100,36.9575,22.5062,7.48708883,939750,1943950,126.8184317,37.49283913
939600,1952600,939700,1952700,100,19.7654,28.6438,9.44056836,939650,1952650,126.8165854,37.57124549
939600,1952700,939700,1952800,100,1.9349,35.0092,9.44056836,939650,1952750,126.8165771,37.57214678
965700,1940200,965800,1940300,100,34.2889,23.4589,20.1,965750,1940250,127.1127161,37.46081993
965700,1941600,965800,1941700,100,33.4631,23.7537,20.1,965750,1941650,127.112651,37.47343884
939700,1952100,939800,1952200,100,61.3859,13.7852,9.44056836,939750,1952150,126.8177588,37.56674558
965700,1941700,965800,1941800,100,19.863,28.6089,20.1,965750,1941750,127.1126463,37.47434019
939700,1952200,939800,1952300,100,19.9442,28.5799,9.44056836,939750,1952250,126.8177506,37.56764687
939700,1952400,939800,1952500,100,66.4551,11.9755,9.44056836,939750,1952450,126.8177342,37.56944945
965600,1960200,965700,1960300,100,32.6592,24.0407,7.17825017,965650,1960250,127.1106487,37.64108383
939700,1952500,939800,1952600,100,15.4213,30.1946,9.44056836,939750,1952550,126.8177259,37.57035075
939700,1951500,939800,1951600,100,43.6405,20.1203,9.44056836,939750,1951550,126.8178081,37.56133782
939700,1951700,939800,1951800,100,28.53,25.5148,9.44056836,939750,1951750,126.8177917,37.56314041
965700,1945200,965800,1945300,100,84.3446,5.589,13.10915194,965750,1945250,127.1124834,37.50588735
965700,1945500,965800,1945600,100,67.6998,11.5312,13.10915194,965750,1945550,127.1124694,37.50859139
